   0.00000  3157.929209953513691
   0.00180  2848.476163533704494
   0.00360  2557.354749546449966
   0.00540  2283.615037949688030
   0.00720  2026.353771484170920
   0.00900  1784.712127236268543
   0.01080  1557.873584318679605
   0.01260  1345.061892667045186
   0.01440  1145.539138185466072
   0.01620   958.603899698091823
   0.01800   783.589493377439567
   0.01980   619.862300523637828
   0.02160   466.820174762800661
   0.02340   323.890924917607151
   0.02520   190.530869979314048
   0.02700    66.223462778402194
   0.02880   -49.522020888937668
   0.03060  -157.171730768712678
   0.03240  -257.168431236356867
   0.03420  -349.932633769596293
   0.03600  -435.863675481295957
   0.03780  -515.340746260759488
   0.03960  -588.723866952046365
   0.04140  -656.354820883576622
   0.04320  -718.558040954364401
   0.04500  -775.641454378411709
   0.04680  -827.897287089874681
   0.04860  -875.602829717300210
   0.05040  -919.021166945410300
   0.05220  -958.401871997242438
   0.05400  -993.981667887866138
   0.05580 -1025.985057023101717
   0.05760 -1054.624920642554343
   0.05940 -1080.103089535627532
   0.06120 -1102.610887391868800
   0.06300 -1122.329648082830772
   0.06480 -1139.431208111498336
   0.06660 -1154.078375407063049
   0.06840 -1166.425375587291001
   0.07020 -1176.618276757814556
   0.07200 -1184.795393867250368
   0.07380 -1191.087673588980124
   0.07560 -1195.619060654631085
   0.07740 -1198.506846520650015
   0.07920 -1199.862001207765161
   0.08100 -1199.789489113495620
   0.08280 -1198.388569560091582
   0.08460 -1195.753082804293399
   0.08640 -1191.971722200993327
   0.08820 -1187.128293180192941
   0.09000 -1181.301959665495360
   0.09180 -1174.567478532696214
   0.09360 -1166.995422678729710
   0.09540 -1158.652393244286941
   0.09720 -1149.601221507725086
   0.09900 -1139.901160943408968
   0.10080 -1129.608069914296493
   0.10260 -1118.774585446361471
   0.10440 -1107.450288511250164
   0.10620 -1095.681861223397391
   0.10800 -1083.513236338585557
   0.10980 -1070.985739422607594
   0.11160 -1058.138224041229023
   0.11340 -1045.007200306000868
   0.11520 -1031.626957094625823
   0.11700 -1018.029678249459153
   0.11880 -1004.245553043339442
   0.12060  -990.302881188219430
   0.12240  -976.228172648996633
   0.12420  -962.046242512491062
   0.12600  -947.780301149643947
   0.12780  -933.452039897710506
   0.12960  -919.081712478438931
   0.13140  -904.688212357966336
   0.13320  -890.289146244378912
   0.13500  -875.900903909563112
   0.13680  -861.538724513098146
   0.13860  -847.216759597475630
   0.14040  -832.948132915874680
   0.14220  -818.744997246038565
   0.14400  -804.618588336483981
   0.14580  -790.579276124300918
   0.14760  -776.636613357157785
   0.14940  -762.799381745807523
   0.15120  -749.075635767343783
   0.15300  -735.472744233736194
   0.15480  -721.997429734681532
   0.15660  -708.655806058607141
   0.15840  -695.453413690691264
   0.16020  -682.395253482036651
   0.16200  -669.485818579626198
   0.16380  -656.729124702393392
   0.16560  -644.128738844655572
   0.16740  -631.687806484258203
   0.16920  -619.409077369064107
   0.17100  -607.294929951895597
   0.17280  -595.347394540656524
   0.17460  -583.568175227167558
   0.17640  -571.958670655178025
   0.17820  -560.519993685119061
   0.18000  -549.252990010382291
   0.18180  -538.158255777273780
   0.18360  -527.236154258267106
   0.18540  -516.486831625801869
   0.18720  -505.910231871571341
   0.18900  -495.506110914086435
   0.19080  -485.274049935221115
   0.19260  -475.213467984486897
   0.19440  -465.323633887887183
   0.19620  -455.603677496439559
   0.19800  -446.052600307723765
   0.19980  -436.669285492214328
   0.20160  -427.452507354604506
   0.20340  -418.400940258847868
   0.20520  -409.513167044264037
   0.20700  -400.787686958704057
   0.20880  -392.222923133509880
   0.21060  -383.817229623787398
   0.21240  -375.568898036375913
   0.21420  -367.476163766777461
   0.21600  -359.537211865287418
   0.21780  -351.750182551566070
   0.21960  -344.113176395938297
   0.22140  -336.624259184823472
   0.22320  -329.281466486824058
   0.22500  -322.082807935198048
   0.22680  -315.026271241655650
   0.22860  -308.109825955682879
   0.23040  -301.331426982899472
   0.23220  -294.689017875266586
   0.23400  -288.180533905353229
   0.23580  -281.803904936231049
   0.23760  -275.557058098017876
   0.23940  -269.437920281517961
   0.24120  -263.444420458897355
   0.24300  -257.574491840834185
   0.24480  -251.826073879097777
   0.24660  -246.197114123079416
   0.24840  -240.685569938346816
   0.25020  -235.289410094907367
   0.25200  -230.006616232457077
   0.25380  -224.835184209539335
   0.25560  -219.773125343174627
   0.25740  -214.818467545194068
   0.25920  -209.969256361190531
   0.26100  -205.223555917694085
   0.26280  -200.579449782900809
   0.26460  -196.035041745995557
   0.26640  -191.588456519866838
   0.26820  -187.237840371746586
   0.27000  -182.981361686087041
   0.27180  -178.817211463751988
   0.27360  -174.743603761395377
   0.27540  -170.758776074691667
   0.27720  -166.860989668892984
   0.27900  -163.048529860006738
   0.28080  -159.319706249709014
   0.28260  -155.672852916947193
   0.28440  -152.106328569029785
   0.28620  -148.618516654846644
   0.28800  -145.207825442727142
   0.28980  -141.872688065304118
   0.29160  -138.611562533628614
   0.29340  -135.422931722653061
   0.29520  -132.305303330089430
   0.29700  -129.257209810538001
   0.29880  -126.277208286676228
   0.30060  -123.363880439202774
   0.30240  -120.515832377131900
   0.30420  -117.731694489948779
   0.30600  -115.010121283052328
   0.30780  -112.349791197823336
   0.30960  -109.749406417594201
   0.31140  -107.207692660707295
   0.31320  -104.723398961795809
   0.31500  -102.295297442341848
   0.31680   -99.922183071518006
   0.31860   -97.602873418248322
   0.32040   -95.336208395376559
   0.32220   -93.121049996773138
   0.32400   -90.956282028165830
   0.32580   -88.840809832426530
   0.32760   -86.773560010005028
   0.32940   -84.753480135160913
